score,sentiment,text
0.654,neutral,"b'realdonaldtrump truly is a fakepresident, an allegedpresident installed by a foreign power. beyond the inherent\xe2\x80\xa6 URL"
0.384,positive,b'rt AT_USER yuge friday special...\n.AT_USER .AT_USER \n.AT_USER .AT_USER \n.AT_USER .AT_USER .AT_USER
0.926,neutral,b'rt AT_USER let\xe2\x80\x99s do what americans do best...win!! call out the leftist for who they are.. anti-american nflboycott foxnews makea\xe2\x80\xa6
0.693,neutral,b'rt AT_USER wherearethechildren wherearethechildren wherearethechildren realdonaldtrump you are one sick son of a bitch\xe2\x80\xa6
0.914,neutral,b'iran needs restart.\n\xe2\x96\xa0\xe2\x96\xa0\xe2\x96\xa0\xe2\x96\xa0\nrestart is the only way to save the iranian people.\n\xe2\x96\xa0\xe2\x96\xa0\xe2\x96\xa0\xe2\x96\xa0\nrestart taught us to stand up for\xe2\x80\xa6 URL
0.898,neutral,b'rt AT_USER retweeted warqpress (AT_USER international community is reluctant to put a harness on the dictator of sudan .. wha\xe2\x80\xa6
0.921,positive,b'rt AT_USER thank you AT_USER for firing the treasonous AT_USER thank you for making america great again. we are with you. wh\xe2\x80\xa6
0.786,neutral,"b""we have it all! we don't need mccabe testimony! noimmunityformccabe nodealsfortraitors maga qanon\xe2\x80\xa6 URL"
0.417,positive,b'rt AT_USER sad realdonaldtrump faketweets: rt vp: our hearts are with all those that are suffering in the wake of the terrible volcan\xe2\x80\xa6
0.926,neutral,b'rt AT_USER let\xe2\x80\x99s do what americans do best...win!! call out the leftist for who they are.. anti-american nflboycott foxnews makea\xe2\x80\xa6
0.893,neutral,"b'AT_USER realdonaldtrump americafirst wakeupamerica please check this out, and share it!!! thank you, terry URL"
0.572,positive,b'thank you AT_USER for firing the treasonous AT_USER thank you for making america great again. we are with\xe2\x80\xa6 URL
0.554,neutral,b'sad realdonaldtrump faketweets: rt vp: our hearts are with all those that are suffering in the wake of the terri\xe2\x80\xa6 URL
0.384,positive,b'rt AT_USER yuge friday special...\n.AT_USER .AT_USER \n.AT_USER .AT_USER \n.AT_USER .AT_USER .AT_USER
0.505,negative,b'rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER
0.814,neutral,b'yuge friday special...\n.AT_USER .AT_USER \n.AT_USER .AT_USER \n.AT_USER .AT_USER .\xe2\x80\xa6 URL
0.773,neutral,"b""the great 'if' idiotinchief AT_USER the world is interested in what trump backfiretrump screws-up. eco\xe2\x80\xa6 URL"
0.481,neutral,b'rt AT_USER exclusive interview friday..\n.AT_USER .AT_USER \n.AT_USER .AT_USER \n.AT_USER .AT_USER .AT_USER
0.435,neutral,b'exclusive interview friday..\n.AT_USER .AT_USER \n.AT_USER .AT_USER \n.AT_USER .AT_USER URL
0.713,neutral,b'rt AT_USER realdonaldtrump trump said america got ripped off by canada &amp; mexico &amp; all the other countries they treated with over th\xe2\x80\xa6
0.435,neutral,b'exclusive interview friday..\n.AT_USER .AT_USER \n.AT_USER .AT_USER \n.AT_USER .AT_USER URL
0.414,positive,b'kkk=antifanow realdonaldtrump URL
0.435,neutral,b'exclusive interview friday..\n.AT_USER .AT_USER \n.AT_USER .AT_USER \n.AT_USER .AT_USER URL
0.626,neutral,b'realdonaldtrump trump said america got ripped off by canada &amp; mexico &amp; all the other countries they treated with o\xe2\x80\xa6 URL
0.435,neutral,b'exclusive interview friday..\n.AT_USER .AT_USER \n.AT_USER .AT_USER \n.AT_USER .AT_USER URL
0.837,neutral,b'tune in friday-\n.AT_USER .AT_USER \n.AT_USER .AT_USER \n.AT_USER .AT_USER .\xe2\x80\xa6 URL
0.636,neutral,b'join us friday...special guest-\n.AT_USER .AT_USER \n.AT_USER .AT_USER \n.AT_USER .AT_USER URL
0.959,neutral,"b""rt AT_USER \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 donald j trump &amp; his legal advisors are attempting a power grab of our 'rule of law', and deface our precious constitut\xe2\x80\xa6"
0.811,negative,"b'AT_USER once again, realdonaldtrump is wrong!"
0.887,neutral,b'join us friday....exclusive interview\n.AT_USER .AT_USER \n.AT_USER .AT_USER \n.AT_USER .\xe2\x80\xa6 URL
0.625,negative,"b'AT_USER the ""shame of indy"" mikepence is the biggest suck-ass ever!!! impeachtrump &amp; fire pence realdonaldtrump......"
0.926,neutral,b'rt AT_USER let\xe2\x80\x99s do what americans do best...win!! call out the leftist for who they are.. anti-american nflboycott foxnews makea\xe2\x80\xa6
0.926,neutral,b'rt AT_USER let\xe2\x80\x99s do what americans do best...win!! call out the leftist for who they are.. anti-american nflboycott foxnews makea\xe2\x80\xa6
0.926,neutral,b'rt AT_USER let\xe2\x80\x99s do what americans do best...win!! call out the leftist for who they are.. anti-american nflboycott foxnews makea\xe2\x80\xa6
